"CubeId";"snbmonagg"
"PublishingDate";"2026-07-21 09:00"

"Date";"D0";"D1";"Value"
"2000-01";"B";"GM1";"212697"
"2000-01";"VV";"GM1";"5.66852305"
"2000-02";"B";"GM1";"209974"
"2000-02";"VV";"GM1";"1.86978459"
"2000-03";"B";"GM1";"206603"
"2000-03";"VV";"GM1";"1.77136749"
"2000-04";"B";"GM1";"206650"
"2000-04";"VV";"GM1";"-1.46385657"
"2000-05";"B";"GM1";"206826"
"2000-05";"VV";"GM1";"-1.73836615"
"2000-06";"B";"GM1";"201797"
"2000-06";"VV";"GM1";"-3.64235406"
"2000-07";"B";"GM1";"198813"
"2000-07";"VV";"GM1";"-5.40507106"
"2000-08";"B";"GM1";"199824"
"2000-08";"VV";"GM1";"-4.70504077"
"2000-09";"B";"GM1";"198381"
"2000-09";"VV";"GM1";"-4.89201045"
"2000-10";"B";"GM1";"201560"
"2000-10";"VV";"GM1";"-4.46216121"
"2000-11";"B";"GM1";"208389"
"2000-11";"VV";"GM1";"-2.94623105"
"2000-12";"B";"GM1";"202840"
"2000-12";"VV";"GM1";"-1.98219791"
"2001-01";"B";"GM1";"206020"
"2001-01";"VV";"GM1";"-3.13920742"
"2001-02";"B";"GM1";"204168"
"2001-02";"VV";"GM1";"-2.76510425"
"2001-03";"B";"GM1";"199974"
"2001-03";"VV";"GM1";"-3.20856909"
"2001-04";"B";"GM1";"203333"
"2001-04";"VV";"GM1";"-1.60512945"
"2001-05";"B";"GM1";"206740"
"2001-05";"VV";"GM1";"-0.04158085"
"2001-06";"B";"GM1";"204006"
"2001-06";"VV";"GM1";"1.09466444"
"2001-07";"B";"GM1";"201490"
"2001-07";"VV";"GM1";"1.34649143"
"2001-08";"B";"GM1";"201856"
"2001-08";"VV";"GM1";"1.01689487"
"2001-09";"B";"GM1";"205344"
"2001-09";"VV";"GM1";"3.50991274"
"2001-10";"B";"GM1";"208754"
"2001-10";"VV";"GM1";"3.56916055"
"2001-11";"B";"GM1";"216409"
"2001-11";"VV";"GM1";"3.84857166"
"2001-12";"B";"GM1";"220247"
"2001-12";"VV";"GM1";"8.5816407"
"2002-01";"B";"GM1";"215161"
"2002-01";"VV";"GM1";"4.43694787"
"2002-02";"B";"GM1";"217420"
"2002-02";"VV";"GM1";"6.49073312"
"2002-03";"B";"GM1";"217201"
"2002-03";"VV";"GM1";"8.6146199"
"2002-04";"B";"GM1";"216802"
"2002-04";"VV";"GM1";"6.62410922"
"2002-05";"B";"GM1";"216211"
"2002-05";"VV";"GM1";"4.58111638"
"2002-06";"B";"GM1";"221329"
"2002-06";"VV";"GM1";"8.49141692"
"2002-07";"B";"GM1";"223162"
"2002-07";"VV";"GM1";"10.75586878"
"2002-08";"B";"GM1";"225922"
"2002-08";"VV";"GM1";"11.92236049"
"2002-09";"B";"GM1";"228976"
